Tract ID	% White	% At Least High School	% Employed	Median Income	Affordable Units	Radius	Borough
1018300	0.8397556390977641	0.9093045112782068	0.9007058823529317	0.91773656680932	124	161	Manhattan
1003602	0.6959586466165498	0.6799812030075197	0.13176470588235253	0.8155016642891108	65	130	Manhattan
4036800	0.05874060150375945	0.8482142857142938	0.3543529411764679	0.7356157869709938	1	60	Queens
3055500	0.7575187969924947	0.9196428571428688	0.8804705882352849	0.9377080361388492	393	248	Brooklyn
2021700	0.14708646616541368	0.07095864661654155	0.16799999999999923	0.057536852116024724	326	230	Bronx
3080400	0.156015037593985	0.367011278195485	0.12188235294117614	0.15644317641464575	46	117	Brooklyn
2022901	0.3073308270676667	0.0488721804511279	0.1138823529411762	0.06799809795530196	6	74	Bronx
2003900	0.30639097744360655	0.026785714285714284	0.46823529411764303	0.08892058963385639	392	247	Bronx
2024300	0.1531954887218046	0.16870300751879674	0.10447058823529393	0.03281027104136947	75	136	Bronx
2007600	0.3496240601503725	0.08317669172932358	0.4588235294117607	0.17784117926771278	55	124	Bronx
1007800	0.7908834586466327	0.9826127819549026	0.6677647058823465	0.9614835948644793	91	145	Manhattan
1000800	0.13251879699248145	0.008458646616541353	0.3877647058823498	0.09938183547313362	1610	451	Manhattan
3021700	0.41306390977443136	0.821428571428578	0.4037647058823496	0.5011887779362815	13	86	Brooklyn
1023700	0.3905075187969882	0.18843984962405966	0.5505882352941127	0.2211126961483595	70	133	Manhattan
2005200	0.3294172932330797	0.07283834586466187	0.20376470588235182	0.01806942463147884	101	150	Bronx
1009500	0.8096804511278372	0.9859022556391134	0.5322352941176424	0.9862101759391345	37	110	Manhattan
2020900	0.19830827067669118	0.14426691729323327	0.34117647058823275	0.10223490252020923	87	143	Bronx
3027300	0.11983082706766951	0.4111842105263112	0.43623529411764334	0.1902044698050404	50	120	Brooklyn
3056300	0.7796052631579099	0.650845864661654	0.6663529411764642	0.6747503566333809	308	225	Brooklyn
1015100	0.6076127819548894	0.6423872180451122	0.7209411764705811	0.6814075130765573	616	298	Manhattan
1003400	0.8284774436090416	0.8552631578947448	0.8164705882352857	0.6823585354255824	46	117	Manhattan
1017300	0.7993421052631746	0.7250939849624084	0.9449411764705782	0.953399904897765	202	192	Manhattan
2011900	0.21757518796992392	0.05263157894736852	0.12941176470588198	0.05325725154541132	103	151	Bronx
3030100	0.07377819548872196	0.47838345864661075	0.06400000000000008	0.3437945791726106	79	138	Brooklyn
1021500	0.3139097744360876	0.39379699248119876	0.43670588235293745	0.1783166904422254	74	136	Manhattan
3111600	0.2565789473684195	0.38862781954886805	0.526588235294113	0.20874940561103186	24	98	Brooklyn
2015300	0.12124060150375975	0.21710526315789386	0.1411764705882348	0.03233475986685687	179	183	Bronx
1017000	0.37640977443608625	0.22791353383458537	0.23952941176470452	0.1421778411792677	64	130	Manhattan
3115000	0.1616541353383458	0.19313909774436036	0.27576470588235125	0.26105563480741795	22	96	Brooklyn
3116400	0.35056390977443264	0.2904135338345843	0.21741176470588117	0.26676176890156916	31	105	Brooklyn
3116000	0.1879699248120297	0.163533834586466	0.5035294117647016	0.09652876842605801	8	78	Brooklyn
4024000	0.2984022556390954	0.07471804511278218	0.0644705882352942	0.2582025677603424	65	130	Queens
1022500	0.42246240601503265	0.18656015037593937	0.2729411764705866	0.4027579648121731	48	119	Manhattan
1022700	0.4365601503759346	0.4431390977443558	0.4174117647058789	0.39419876367094625	396	248	Manhattan
3004700	0.7283834586466277	0.7265037593984988	0.27199999999999835	0.9182120779838326	26	100	Brooklyn
3005100	0.8378759398496436	0.8049812030075247	0.9458823529411664	0.854493580599144	2	64	Brooklyn
1000201	0.3538533834586431	0.021616541353383457	0.9623529411764603	0.039942938659058486	23	97	Manhattan
3037700	0.23496240601503646	0.6306390977443599	0.3152941176470566	0.26438421302900617	24 + 2*""	50 + Floor[10*Sqrt[24 + 2*""]]	Brooklyn
3037900	0.15789473684210525	0.33599624060150063	0.3096470588235273	0.2677127912505944	32 + 3*""	50 + Floor[10*Sqrt[32 + 3*""]]	Brooklyn
3028900	0.2753759398496221	0.3265977443608993	0.009882352941176474	0.2553495007132668	22 + ""	50 + Floor[10*Sqrt[22 + ""]]	Brooklyn
3022900	0.44360902255638557	0.6766917293233091	0.5698823529411713	0.44935805991440797	40 + 4*""	50 + Floor[10*Sqrt[40 + 4*""]]	Brooklyn
3037500	0.36043233082706405	0.16588345864661636	0.13882352941176423	0.35330480266286257	56 + ""	50 + Floor[10*Sqrt[56 + ""]]	Brooklyn
3025300	0.4633458646616483	0.596804511278193	0.3115294117647037	0.3200190204469805	8 + ""	50 + Floor[10*Sqrt[8 + ""]]	Brooklyn
3090800	0.10479323308270706	0.11795112781954935	0.02964705882352945	0.0033285782215882074	185 + 2*""	50 + Floor[10*Sqrt[185 + 2*""]]	Brooklyn
3026100	0.38580827067668755	0.6099624060150358	0.6776470588235228	0.24726581074655254	36 + ""	50 + Floor[10*Sqrt[36 + ""]]	Brooklyn
3037100	0.034774436090225576	0.4158834586466119	0.2978823529411745	0.3751783166904422	24 + ""	50 + Floor[10*Sqrt[24 + ""]]	Brooklyn
3029500	0.30921052631578694	0.6921992481203019	0.7407058823529338	0.4973846885401807	12 + ""	50 + Floor[10*Sqrt[12 + ""]]	Brooklyn
3024300	0.3914473684210483	0.31625939849623785	0.6103529411764649	0.4997622444127437	8 + ""	50 + Floor[10*Sqrt[8 + ""]]	Brooklyn
2002500	0.3486842105263124	0.045112781954887285	0.44894117647058435	0.014740846409890632	173	181	Bronx
2004100	0.28665413533834366	0.037124060150375976	0.052705882352941255	0.024251069900142655	96	147	Bronx
1016400	0.43468045112781434	0.34210526315789147	0.32847058823529174	0.1792677127912506	680	310	Manhattan
3043700	0.5399436090225531	0.040883458646616605	0.05411764705882361	0.30622919638611507	24	98	Brooklyn
2036100	0.18233082706766887	0.067669172932331	0.002823529411764706	0.02662862577270566	246	206	Bronx
2036300	0.24812030075187835	0.033834586466165426	0.008	0.02234902520209225	260	211	Bronx
3091600	0.04464285714285718	0.23120300751879588	0.2861176470588217	0.14931050879695673	82	140	Brooklyn
2014500	0.1099624060150379	0.09022556390977475	0.028705882352941213	0.056585829766999524	143	169	Bronx
1022400	0.22039473684210434	0.1578947368421052	0.2992941176470568	0.07845934379457917	185	186	Manhattan
1011500	0.6292293233082742	0.8392857142857217	0.5929411764705828	0.8611507370423205	42	114	Manhattan
2006700	0.21898496240601412	0.006578947368421052	0.16094117647058756	0.0446980504041845	102	150	Bronx
2002702	0.2758458646616522	0.011278195488721804	0.3670588235294089	0.014265335235378032	51	121	Bronx
2003300	0.26268796992481036	0.03289473684210527	0.06258823529411774	0.03613884926295768	36	110	Bronx
1002602	0.6268796992481237	0.6212406015037581	0.9599999999999898	0.7094626723728008	45	117	Manhattan
3117602	0.4431390977443555	0.42481203007518314	0.5359999999999953	0.11412268188302425	17	91	Brooklyn
3117400	0.6555451127819601	0.4365601503759348	0.7195294117646988	0.4873989538754161	5	72	Brooklyn
3117000	0.33458646616541043	0.07518796992481226	0.11576470588235264	0.20637184973846887	5	72	Brooklyn
2040302	0.23684210526315672	0.08646616541353414	0.21082352941176355	0.08559201141226819	40	113	Bronx
1018400	0.2781954887218025	0.36043233082706405	0.439058823529408	0.08416547788873038	29	103	Manhattan
1024200	0.2725563909774417	0.2072368421052624	0.38117647058823223	0.020922491678554447	564	287	Manhattan
1015400	0.8416353383458846	0.8458646616541433	0.6724705882352876	0.8107465525439848	231	201	Manhattan
1013900	0.7683270676691872	0.8388157894736916	0.7684705882352864	0.889205896338564	17	91	Manhattan
2008700	0.26550751879699075	0.08787593984962436	0.5458823529411716	0.12268188302425106	130 + 2*""	50 + Floor[10*Sqrt[130 + 2*""]]	Bronx
1022000	0.3007518796992457	0.6005639097744339	0.5463529411764657	0.3980028530670471	77	137	Manhattan
3036600	0.658834586466171	0.47462406015037023	0.8268235294117562	0.21160247265810747	179	183	Brooklyn
3022600	0.417763157894732	0.028665413533834585	0.9750588235294013	0.4060865430337613	36	110	Brooklyn
3036502	0.14285714285714304	0.23731203007518684	0.024470588235294147	0.10318592486923443	15	88	Brooklyn
1023400	0.2429511278195476	0.45300751879698725	0.05694117647058832	0.24679029957203993	33	107	Manhattan
2005100	0.20300751879699183	0.05169172932330837	0.02352941176470591	0.02377555872563005	122	160	Bronx
2036501	0.17387218045112762	0.1292293233082711	0.004235294117647059	0.0451735615786971	29	103	Bronx
2018101	0.10338345864661683	0.1123120300751884	0.2809411764705865	0.10366143604374703	5	72	Bronx
2017701	0.07988721804511298	0.040413533834586526	0.12799999999999964	0.07941036614360437	146	170	Bronx
2013100	0.1503759398496242	0.08129699248120327	0.3096470588235273	0.08131241084165478	36	110	Bronx
3003900	0.6851503759398572	0.8073308270676752	0.6174117647058766	0.9253447456015217	202	192	Brooklyn
1021200	0.17340225563909756	0.713815789473686	0.15717647058823464	0.4640989063242986	21	95	Manhattan
1022600	0.24906015037593848	0.4760338345864604	0.6305882352941117	0.21398002853067047	42	114	Manhattan
1021800	0.33411654135338037	0.511278195488716	0.25458823529411617	0.38468854018069426	86	142	Manhattan
